frase,intencao
Quero fazer um site para minha empresa,site
Preciso de um site institucional,site
Vocês fazem sites personalizados?,site
Como funciona o processo de criação de sites?,site
Vocês criam sites profissionais?,site
Vocês desenvolvem sites?,site
Fazem desenvolvimento de sites?,site
Criação de sites está disponível?,site
Vocês fazem páginas de vendas?,landing
Preciso de uma página de vendas,landing
Quero uma página de vendas,landing
Vocês criam páginas de e-commerce?,landing
Fazem página de vendas para produto?,landing
Página de vendas é com vocês?,landing
Criam páginas de vendas?,landing
Vocês criam página de vendas para campanhas?,landing
Desenvolvem página de vendas para produtos digitais?,landing
Vocês oferecem cartao interativo?,cartao
Vocês fazem cartão de visita digital?,cartao
Vocês criam cartão digital?,cartao
Fazem cartão virtual?,cartao
Posso fazer cartão de visita com vocês?,cartao
Cartão digital está disponível?,cartao
Quais serviços vocês oferecem?,servicos
O que vocês fazem?,servicos
Gostaria de conhecer os serviços disponíveis,servicos
Vocês oferecem serviços além de sites?,servicos
Quais áreas vocês atendem?,servicos
Quanto custa um site?,precos
Qual é o valor para desenvolver um site?,precos
Quanto fica um site básico?,precos
Vocês cobram por hora ou projeto?,precos
Gostaria de saber os preços,precos
Qual o valor do serviço?,precos
Quero saber o preço do site,precos
Quanto vocês cobram por um site?,precos
Me fala o preço de um site institucional,precos
Preço médio de um site?,precos
Qual é a faixa de preço?,precos
Quero saber o custo inicial,precos
Tem ideia de quanto custa?,precos
Vocês cobram caro?,precos
Quanto custa um cartão digital?,precos
qual o preco para desenvolver um site?,precos
quanto custa?,precos
qual o valor?,precos
tem tabela de preços?,precos
quero saber os preços,precos
preço de site?,precos
me manda o preço,precos
qual o custo?,precos
quanto cobram por página?,precos
me envia preços,precos
quanto fica pra fazer isso?,precos
valores por favor,precos
quero o preço,precos
cobram quanto?,precos
tem desconto?,precos
os preços estão atualizados?,precos
tem planos com valores diferentes?,precos
preços por tipo de site?,precos
quero saber o custo agora,precos
Vocês aceitam Pix?,pagamento
Posso pagar com cartão?,pagamento
Quais formas de pagamento?,pagamento
Aceitam boleto bancário?,pagamento
Quais formas de pagamento vocês aceitam?,pagamento
Tem opção de parcelamento?,pagamento
Qual o prazo para entrega?,prazo
Quanto tempo demora para desenvolver um site?,prazo
Quanto tempo leva para fazer o site?,prazo
Prazo médio de entrega?,prazo
Vocês entregam rápido?,prazo
Quanto demora para concluir o projeto?,prazo
Fazem anúncios no Google Ads?,google_ads
Vocês gerenciam campanhas no Google?,google_ads
Quero anunciar no Google vocês fazem isso?,google_ads
Trabalham com tráfego pago no Google?,google_ads
Oferecem suporte em Google Ads?,google_ads
Vocês tem redes sociais?,redes_sociais
Vocês trabalham com redes sociais?,redes_sociais
Criam conteúdo para redes sociais?,redes_sociais
Gerenciam perfis sociais?,redes_sociais
Fazem artes para Instagram?,redes_sociais
Oferecem pacote de redes sociais?,redes_sociais
Tem como ver exemplos de trabalhos?,portfolio
Gostaria de ver o portfólio de vocês,portfolio
Tem site com projetos já feitos?,portfolio
Vocês têm amostras de trabalhos anteriores?,portfolio
Me mostra exemplos de sites que já fizeram,portfolio
vocês têm portfólio?,portfolio
onde posso ver os trabalhos de vocês?,portfolio
tem exemplos de sites que fizeram?,portfolio
me manda o portfólio,portfolio
onde vejo projetos já feitos?,portfolio
trabalhos anteriores?,portfolio
quero ver seus jobs anteriores,portfolio
algum link com os sites já feitos?,portfolio
vocês já fizeram algum site que eu possa ver?,portfolio
portifólio de sites por favor,portfolio
tem amostra de projetos?,portfolio
vocês têm cases?,portfolio
me manda portifolio,portfolio
trabalhos passados?,portfolio
me mostra projetos antigos,portfolio
link do portfólio,portfolio
pode me enviar seu portifólio?,portfolio
quero avaliar os projetos anteriores,portfolio
já fizeram algum site parecido?,portfolio
posso ver sites prontos que vocês fizeram?,portfolio
Estou com problema no meu site,suporte
O site saiu do ar conseguem ajudar?,suporte
Preciso de suporte técnico,suporte
Vocês fazem manutenção de site?,suporte
Como resolver erro no meu site?,suporte
preciso de ajuda técnica,suporte
meu site tá com problema,suporte
ajuda com erro no site,suporte
o site caiu,suporte
tem suporte 24h?,suporte
como falo com o suporte?,suporte
erro na página inicial,suporte
não consigo acessar meu site,suporte
problemas no servidor,suporte
vocês dão suporte técnico?,suporte
tô com erro no admin,suporte
site está lento,suporte
atendimento técnico disponível?,suporte
bug no sistema,suporte
preciso resolver um problema no site,suporte
suporte urgente,suporte
o painel não entra,suporte
como resolvo erro no wordpress?,suporte
tem atendimento pra erro técnico?,suporte
vocês ajudam se der problema?,suporte
Preciso de ajuda urgente,suporte
Estou com dificuldades técnicas,suporte
Tem suporte técnico disponível?,suporte
Meu sistema não está funcionando,suporte
Quero atualizar meu site,atualizacao_site
Como faço uma atualização no site?,atualizacao_site
Preciso adicionar conteúdo novo,atualizacao_site
Dá para mudar o layout do meu site?,atualizacao_site
Quero fazer melhorias no meu site atual,atualizacao_site
meu site precisa de mudanças,atualizacao_site
quero mexer no meu site,atualizacao_site
atualizações no conteúdo,atualizacao_site
mexer no layout do site,atualizacao_site
vocês cuidam de atualizações?,atualizacao_site
manutenção periódica,atualizacao_site
trocar imagens do site,atualizacao_site
vocês atualizam o portfólio?,atualizacao_site
quero mudar textos do site,atualizacao_site
ajudam com ajustes no site?,atualizacao_site
alterar páginas,atualizacao_site
editar o site,atualizacao_site
tem suporte pra editar conteúdo?,atualizacao_site
quero renovar meu site,atualizacao_site
preciso de atualização técnica,atualizacao_site
alterações no design,atualizacao_site
vocês fazem melhorias no site?,atualizacao_site
Quero falar com alguém,contato
Como entro em contato com vocês?,contato
Tem WhatsApp para contato?,contato
Qual o telefone de vocês?,contato
Me passa um meio de contato,contato
Me passa o número de WhatsApp,contato
Quero falar com um atendente,contato
Tem e-mail de contato?,contato
Quero falar com alguém da equipe,contato
Me manda o WhatsApp,contato
Vocês têm suporte via chat?,contato
Como falo com o suporte?,contato
Quero entrar em contato agora,contato
Qual o número de telefone?,contato
quero falar com vocês,contato
tem número de telefone?,contato
me liga por favor,contato
quero conversar com alguém,contato
tem whatsapp?,contato
como posso falar com vcs?,contato
vocês atendem por e-mail?,contato
onde posso te achar?,contato
quero falar com o comercial,contato
dá pra ligar?,contato
me manda contato,contato
informações de contato?,contato
email de vocês?,contato
quero atendimento direto,contato
posso chamar no zap?,contato
telefone de vocês?,contato
atendimento por ligação?,contato
fale comigo,contato
Tenho dúvidas sobre os serviços,faq
Onde encontro mais informações?,faq
Existe uma página de perguntas frequentes?,faq
Como funciona o serviço?,faq
Quais são os termos do serviço?,faq
Vocês fazem identidade visual?,design_grafico
Criam logotipo?,design_grafico
Fazem artes para redes sociais?,design_grafico
Preciso de identidade visual para minha marca,design_grafico
Trabalham com design gráfico?,design_grafico
vocês fazem artes?,design_grafico
fazem logotipo?,design_grafico
criam identidade visual?,design_grafico
fazem design também?,design_grafico
fazem cartão de visita?,design_grafico
preciso de uma logo,design_grafico
trabalham com design?,design_grafico
fazem arte pro instagram?,design_grafico
tem serviço de design gráfico?,design_grafico
quero criar um logo,design_grafico
quero arte pro meu site,design_grafico
trabalham com parte visual?,design_grafico
fazem banners?,design_grafico
criam imagens?,design_grafico
fazem design para redes sociais?,design_grafico
vocês fazem flyer?,design_grafico
serviço de criação de logo?,design_grafico
trabalham com branding?,design_grafico
criação gráfica também?,design_grafico
Como faço para cancelar o serviço?,cancelar
Quero cancelar meu plano o que fazer?,cancelar
Preciso cancelar meu projeto,cancelar
Tem multa para cancelar?,cancelar
Como encerro meu contrato?,cancelar
quero cancelar o serviço,cancelar
como cancelo?,cancelar
quero encerrar contrato,cancelar
como parar o serviço?,cancelar
não quero continuar,cancelar
vou sair do projeto,cancelar
quero suspender tudo,cancelar
como cancelo o plano?,cancelar
parar com o serviço,cancelar
interromper o contrato,cancelar
vou desistir,cancelar
não quero mais continuar,cancelar
quero rescindir,cancelar
quero finalizar,cancelar
cancela aí por favor,cancelar
quero cancelar agora,cancelar
preciso cancelar o projeto,cancelar
rescindir contrato,cancelar
fim do serviço,cancelar
Vocês fazem SEO?,seo
Como melhorar meu posicionamento no Google?,seo
Meu site aparece no Google?,seo
Quero otimizar meu site para mecanismos de busca,seo
Trabalham com SEO?,seo
quero orçamento de site,orcamento
quanto custa um site?,orcamento
me envia orçamento por favor,orcamento
tem como cotar um projeto?,orcamento
quero saber valor pra um site,orcamento
fazer orçamento de loja virtual,orcamento
quanto sai um site simples?,orcamento
quanto cobrar por um site?,orcamento
quero proposta comercial,orcamento
quanto tá um site institucional?,orcamento
orçamento para ecommerce,orcamento
tabela de preços por projeto,orcamento
valor de desenvolvimento de site,orcamento
quanto me cobram por isso?,orcamento
vocês fazem proposta por e-mail?,orcamento
me passa um orçamento,orcamento
preciso de cotação,orcamento
cotação para refazer meu site,orcamento
quero saber os custos,orcamento
quanto cobram por landing page?,orcamento
Gostaria de um orçamento para meu projeto,orcamento
Pode me passar o orçamento de um site?,orcamento
Quanto custa para fazer um site simples?,orcamento
Quero um orçamento com e sem manutenção,orcamento
Preciso de um orçamento urgente,orcamento
Me envia uma proposta de valores,orcamento
Tem como fazer um orçamento personalizado?,orcamento
Preciso aprovar o orçamento com meu chefe,orcamento
Pode montar um orçamento para mim?,orcamento
Preciso de uma proposta para apresentar,orcamento
Envia um orçamento completo?,orcamento
Pode me passar um orçamento detalhado?,orcamento
Me envie um orçamento estimado,orcamento
Estou aguardando o orçamento,orcamento
Fazem orçamento gratuito?,orcamento
Consigo orçamento sem compromisso?,orcamento
Preciso do orçamento por e-mail,orcamento
Gostaria de fazer uma parceria,parceria
Vocês aceitam afiliados?,parceria
Estou interessado em parcerias comerciais,parceria
Quero colaborar com vocês,parceria
Tem oportunidades de parceria?,parceria
Quanto tempo demora para vocês criarem um site?,prazo
Demora muito para entregar o site?,prazo
Em quantos dias o site fica pronto?,prazo
Qual o tempo médio de criação de um site institucional?,prazo
Vocês entregam o site em quanto tempo?,prazo
Prazo para entrega do projeto?,prazo
Quanto tempo para ter o site publicado?,prazo
Demora quanto para desenvolver o site?,prazo
Preciso do site urgente é possível?,prazo
Qual o tempo estimado para finalização do site?,prazo
Meu site aparece no Google?,seo
Quero que meu site apareça nas buscas,seo
Como melhorar a posição do meu site no Google?,seo
Vocês otimizam sites para o Google?,seo
Meu site não aparece nas pesquisas,seo
Quero SEO no meu site,seo
Como indexar meu site no Google?,seo
Vocês fazem otimização de site para mecanismos de busca?,seo
Quero aparecer na primeira página do Google,seo
Quero ajuda para posicionar meu site no Google,seo
Estou com dúvidas sobre os serviços,faq
Tenho várias dúvidas onde encontro respostas?,faq
Existe uma central de ajuda?,faq
Como sei mais sobre o serviço de vocês?,faq
Onde posso tirar dúvidas sobre preços e serviços?,faq
Tem uma área de perguntas frequentes?,faq
Quais são as regras dos serviços de vocês?,faq
Onde encontro informações detalhadas sobre os serviços?,faq
Me explica melhor como funcionam os serviços,faq
Vocês têm uma página com dúvidas frequentes?,faq
Vocês criam anúncios para Google Ads?,google_ads
Anunciam no Google?,google_ads
Preciso de tráfego pago no Google Ads,google_ads
Vocês fazem campanhas no Google?,google_ads
Campanhas de performance no Google,google_ads
Trabalham com tráfego pago para negócios locais?,google_ads
Criam campanhas de anúncios?,google_ads
Vocês fazem tráfego pago?,google_ads
Quero tráfego pago no Google,google_ads
Vocês gerenciam anúncios pagos?,google_ads
Ajudam com campanhas no Google Ads?,google_ads
Vocês trabalham com redes sociais?,redes_sociais
Fazem gestão de redes sociais?,redes_sociais
Gerenciam Instagram?,redes_sociais
Cuidam das redes sociais da empresa?,redes_sociais
Quero ajuda com redes sociais,redes_sociais
Vocês fazem postagens em redes sociais?,redes_sociais
